date,adj close,close,high,low,open,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
2021-06-11,1877.4000244140625,1877.4000244140625,1902.300048828125,1875.199951171875,1900.9000244140625,349,1887.8285609654017,1860.1800048828125,1790.6188910590279,-0.00886914116295856,0.009353307081550362,0.007537835309676527,54.722931349952646,19.724030078383976,24.933952646193912,1918.2428785085733,1853.7971239328328
2021-06-14,1864.0,1864.0,1866.5999755859375,1846.5,1866.199951171875,41,1886.7999965122767,1863.4033365885416,1790.9722249348958,-0.007137543538833557,0.006410738169649062,0.0077105534329214576,49.39191871970238,16.433419572419552,23.233846031439043,1913.1197938668038,1861.5302061331963
2021-06-15,1854.5,1854.5,1867.199951171875,1854.4000244140625,1866.4000244140625,78,1881.7571323939733,1865.5066691080729,1791.7011135525174,-0.005096566523605128,0.004572080469905414,0.0074743509462057,45.972581389944395,12.910195733588125,21.169115971868862,1914.9693702992467,1858.3806297007532
2021-06-16,1859.5,1859.5,1860.0999755859375,1809.199951171875,1859.4000244140625,117,1876.4285539899554,1868.2966674804688,1792.24111328125,0.0026961445133459883,0.004347842965482457,0.007240359267497483,48.012514580354754,10.401570837254894,19.015606944946068,1915.862798966185,1856.6571961510026
2021-06-17,1773.800048828125,1773.800048828125,1823.300048828125,1769.5999755859375,1811.800048828125,1135,1859.5142822265625,1867.9533365885416,1791.5955579969618,-0.04608763171383434,0.016894605741123166,0.01128799534843277,28.29354157415584,1.4811242200091783,15.50871039995869,1938.2024569107618,1823.5675382064258
2021-06-18,1767.9000244140625,1767.9000244140625,1792.4000244140625,1767.9000244140625,1775.699951171875,354,1841.614292689732,1866.3666707356772,1790.8466688368055,-0.0033262060275397465,0.01658996193004837,0.01079016427949308,27.45746099907808,-5.995365809096938,11.207895158147565,1950.7446941302921,1799.635298545489
2021-06-21,1781.800048828125,1781.800048828125,1785.199951171875,1766.800048828125,1768.800048828125,38,1825.557163783482,1864.72333984375,1790.1933363172743,0.007862449359187895,0.01754151021647266,0.01076898356899122,32.51689912297536,-10.675857578823525,6.831144610753347,1956.249039064547,1784.640963376859
2021-06-22,1776.300048828125,1776.300048828125,1786.9000244140625,1775.9000244140625,1783.4000244140625,101,1811.1143101283483,1862.6833414713542,1789.6533365885416,-0.0030867661069026164,0.01766057403486494,0.010744379029046774,31.578405042229278,-14.659993779278238,2.5329169327470296,1959.780339559237,1770.2796702063881
2021-06-23,1782.300048828125,1782.300048828125,1793.199951171875,1780.5999755859375,1780.699951171875,136,1799.4428885323662,1860.8966756184896,1789.216670735677,0.003377807709884495,0.01816044328394734,0.010775073273377995,33.822324011737436,-17.135770075597065,-1.4008204689217894,1959.208274630837,1759.2717424590069
2021-06-24,1775.5999755859375,1775.5999755859375,1786.4000244140625,1775.5999755859375,1778.9000244140625,78,1788.1714564732142,1859.330008951823,1788.9766710069443,-0.0037592285578361695,0.018181465581517627,0.010723309102974069,32.53901466557208,-19.41468019515969,-5.003592414169369,1957.2668966547697,1748.6431131108554
